N Env_Canada,ID_SOMAEU,ID_ouvrage,Nom Ouvrage,SOMAEU-Secteur,Region,Trop-Plein X,Trop-Plein Y,Trop-Plein Z,Trop-Plein Lat,Trop-Plein Lon,Emissaire X,Emissaire Y,Emissaire Lon,Emissaire Lat
MTL-130,MTL-23,3305-04D,3305-04D Ouv. Lacordaire - Trop-plein d'urgence,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL-NORD,294439.11,5053309.84,11.76,45.6196113078804,-73.6328581487891,294410.5,5053343.73,-73.6332257372849,45.6199158303584
MTL-127,MTL-24,3305-05D,3305-05D Deriv. Gouin-Lanthier,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL-NORD,294276.54,5052974.27,12.12,45.6165893307462,-73.6349355426246,294240.01,5052990.12,-73.6354042851996,45.6167313984095
MTL-126,MTL-25,3305-06D,3305-06D Deriv. Gouin-Salk,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL-NORD,294165.78,5052639.52,12.25,45.6135754878076,-73.6363484428235,294135.83,5052678.87,-73.6367333111471,45.6139291091707
MTL-123,MTL-26,3305-07D,3305-07D Deriv. Gouin-Brunet,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL-NORD,294081.01,5052379.1,12.97,45.611230866019,-73.6374296091201,294037.53,5052434.93,-73.6379883023324,45.6117325653659
MTL-128,MTL-27,3310-01D,3310-01D Ouv. de regulation Lanthier,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL-NORD,294557.42,5052671.85,19.58,45.6138722834734,-73.6313276571557,294242.58,5052996.48,-73.6353714694581,45.616788666175
MTL-116,MTL-30,3340-01D,3340-01D Ouv. d'Interc. Plaza,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL-NORD,293285.86,5050518.15,19.83,45.5944728678094,-73.647580390029,293242.5,5050580.83,-73.6481376309899,45.5950361591248
MTL-115,MTL-34,3350-01D,3350-01D Ouv. de regulation Lausanne,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL-NORD,292950.78,5049977.99,15.09,45.5896067398673,-73.6518620927568,292989.92,5050140.34,-73.6513643947496,45.5910682732204
MTL-113,MTL-35,3350-02D,3350-02D Ouv. de racc. Etienne-Brule,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL ,292430.82,5048723.69,,45.5783111596703,-73.6584942214581,292372.65,5048839.84,-73.6592425423213,45.5793552728127
MTL-112,MTL-36,3350-03D,3350-03D Emissaire 07,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL ,292466.49,5048741.92,17.84,45.5784758314721,-73.6580376208424,292372.65,5048839.84,-73.6592425423213,45.5793552728127
MTL-110,MTL-37,3350-04D,3350-04D Trop-plein Du Pressoir,OMAEU de Montreal (Station Jean-R.-Marcotte),MONTREAL ,292291.02,5048480.52,9.43,45.5761205491279,-73.6602793361268,292280.31,5048486.82,-73.6604167257454,45.5761770456683
